A01,ألم 
A02,قشعريرة
A03,ارتفاع درجة الحرارة
A04,تعب 
A05,الشعور بالمرض 
A06,الدوخة وفقدان الوعي
A07,غيبوبة 
A08,البلع 
A09,مشاكل في التعرق 
A10,نزيف دم
A11,الم في الصدر 
A13,خوف وشعور بالقلق
A16,طفل متهيج
A18,قلق بشأن المظهر
A20,طلب الموت الرحيم وانهاء الحياة
A21,يزيد نسبة حدوث سرطان
A23,
A25,الخوف من الموت والوفاة
A26,
A27,الخوف من امراض أخرى 
A28,وظيفة محدودة أو فشل وظيفي
A29,أعراض أو شكاوي عامة
A70,
A71,
A72,
A73,
A74,
A75,
A76,
A77,
A78,
A79,
A80,
A81,
A82,
A84,
A85,
A86,
A87,
A88,
A89,
A90,
A91,
A92,
A93,
A94,
A95,
A96,
A97,
A98,
A99,
B02,انتفاخ او ألم في الغدد اللمفاوية
B04,أعراض وشكاوي متعلقة بالدم
B25,الخوف من متلازمة نقص المناعة المكتسبة إيدز
B26,الخوف من سرطان دموي أو لمفاوي 
B27,الخوف من أمراض دموية أو لمفاوية
B28,وظيفة محدودة أو فشل وظيفي
B29,أعراض أو شكاوي دموية أو لمفاوية أخرى
B70,
B71,
B72,
B73,
B74,
B75,
B76,
B77,
B78,
B79,
B80,
B81,
B82,
B83,
B84,
B87,
B90,
B99,
D01,ألم أو تشنج في البطن
D02,ألم في أعلى البطن
D03,حرقة معدة 
D04,ألم في منطقة الشرج
D05,حكة حول منطقة الشرج
D06,ألم في البطن في موضع محدد آخر
D07,عسر هضم
D08,نفخة في البطن 
D09,إعياء وغثيان
D10,قيء ومراجعة
D11,إسهال
D12,إمساك 
D13,إصفرار  أو يرقان
D14,قيء ومراجعة دم 
D15,فضلات بلون أسود غامق
D16,نزيف من الشرج
D17,سلس أو خروج فضلات دون إرادة 
D18,إختلاف  الإخراج أو حركة الامعاء
D19,أعراض وشكاوي في الأسنان أو اللثة
D20,أعراض وشكاوي في الفم أو اللسان أو الشفة 
D21,مشكلة في البلع
D23,تضخم في حجم الكبد
D24,كتلة في البطن
D25,توسع وتضخم في البطن
D26,الخوف من سرطان في الجهاز الهضمي 
D27,الخوف من مرض آخر في الجهاز الهضمي
D28,وظيفة محدودة أو فشل وظيفي
D29,مشكلة أو عرض في الهضم
D70,
D71,
D72,
D73,
D74,
D75,
D76,
D77,
D78,
D79,
D80,
D81,
D82,
D83,
D84,
D85,
D86,
D87,
D88,
D89,
D90,
D91,
D92,
D93,
D94,
D95,
D96,
D97,
D98,
D99,
F01,ألم في العين 
F02,إحمرار في العين 
F03,صديد أو إخراج سائل من العين
F04,نقط أو أشياء تعوم في العين 
F05,خلل في النظر 
F13,خلل في إحساس العين 
F14,خلل في تحريك العين 
F15,خلل في مظهر العين 
F16,خلل في جفن العين 
F17,خلل في النظارات 
F18,خلل في العدسات اللاصقة 
F27,الخوف من مرض في العين 
F28,وظيفة محدودة أو فشل وظيفي
F29,مشكلة أو عرض في العين
F70,
F71,
F72,
F73,
F74,
F75,
F76,
F79,
F80,
F81,
F82,
F83,
F84,
F85,
F86,
F91,
F92,
F93,
F94,
F95,
F99,
H01,ألم في الأذن 
H02,مشكلة في السمع
H03,طنين الاذن
H04,خروج صديد أو إفراز من الأذن
H05,خروج دم من الأذن
H13,إحساس بإنسداد الأذن
H15,قلق من مظهر الأذنين
H27,الخوف من مرض في الأذن
H28,وظيفة محدودة أو فشل وظيفي
H29,مشكلة أو عرض في الأذن
H70,
H71,
H72,
H73,
H74,
H75,
H76,
H77,
H78,
H79,
H80,
H81,
H82,
H83,
H84,
H85,
H86,
H99,
K01,ألم في القلب
K02,ضغط أو ضيق في الصدر
K03,
K04,خفقان أو إحساس بنبض القلب
K05,نبض قلب غير منتظم 
K06,بروز في الأوردة الدموية
K07,انتفاخ في الكاحل 
K22,يزيد نسبة الإصابة بأمراض قلبية وعائية
K24,الخوف من مرض القلب
K25,الخوف من ارتفاع ضغط الدم 
K27,الخوف من مرض قلبي وعائي 
K28,وظيفة محدودة أو فشل وظيفي
K29,مشكلة أو عرض في القلب أو الاوعية الدموية
K70,
K71,
K72,
K73,
K74,
K75,
K76,
K77,
K78,
K79,
K80,
K81,
K82,
K83,
K84,
K85,
K86,
K87,
K88,
K89,
K90,
K91,
K92,
K93,
K94,
K95,
K96,
K99,
L01,مشكلة في الرقبة
L02,مشكلة في الظهر 
L03,مشكلة في أسفل الظهر 
L04,مشكلة في الصدر 
L05,مشكلة في الخاصرة أو الإبط 
L07,مشكلة في الفك
L08,مشكلة في الكتف 
L09,مشكلة في الذراع
L10,مشكلة في الكوع 
L11,مشكلة في معصم اليد 
L12,مشكلة في اليد أو أصابع اليد
L13,مشكلة في الحوض أو الورك
L14,مشكلة في الساق أو الفخذ 
L15,مشكلة في الركبة 
L16,مشكلة في الكاحل 
L17,مشكلة في القدم أو أصابع القدم
L18,ألم في العضلات 
L19,مشكلة في العضلات 
L20,مشكلة في المفاصل 
L26,الخوف من سرطان في العظام أو العضلات
L27,الخوف من مرض في العظام أو العضلات
L28,وظيفة محدودة أو فشل وظيفي
L29,مشكلة أو عرض في العضلات أو العظام
L70,
L71,
L72,
L73,
L74,
L75,
L76,
L77,
L78,
L79,
L80,
L81,
L82,
L83,
L84,
L85,
L86,
L87,
L88,
L89,
L90,
L91,
L92,
L93,
L94,
L95,
L96,
L97,
L98,
L99,
N01,صداع
N03,ألم في الوجه 
N04,إضطراب أو تململ الساقين 
N05,نمنمة في الأصابع 
N06,مشكلة في الإحساس 
N07,نوبات صرعية 
N08,تحركات جسمية غير إيرادية
N16,مشكلة في الشم أو التذوق
N17,دوخة أو دوران 
N18,ضعف أو شلل 
N19,مشكلة في التحدث 
N26,الخوف من سرطان في الأعصاب
N27,الخوف من مرض في الأعصاب
N28,وظيفة محدودة أو فشل وظيفي
N29,مشكلة أو عرض في العضلات أو العظام
N70,
N71,
N72,
N73,
N74,
N75,
N76,
N79,
N80,
N81,
N85,
N86,
N87,
N88,
N89,
N90,
N91,
N92,
N93,
N94,
N95,
N99,
P01,الشعور بالقلق والتوتر 
P02,ردات فعل متوترة حادة 
P03,الشعور بالإكتئاب 
P04,الشعور بالهيجان والغضب 
P05,الإحساس بالتقدم في العمر أو الشيخوخة
P06,مشكلة في النوم 
P07,نقص في الرغبة الجنسية
P08,نقص في تحقيق أو إنجاز الجنس 
P09,مشكلة في التفضيل الجنسي لشيء معين
P10,تأتأة أو تلعثم أثناء الحديث
P11,مشكلة في الأكل عند الطفل 
P12,التبول في الفراش أو سلس البول
P13,خروج براز لا إيرادي أو مشكلة في التدرب على الإخراج
P15,إفراط في شرب كحول مزمن 
P16,إفراط في شرب كحول لفترة قصيرة
P17,إفراط في تناول التبغ أو التدخين
P18,إفراط في تناول أدوية
P19,إفراط في تناول المخدرات
P20,مشكلة في الذاكرة 
P22,مشكلة في سلوك طفل 
P23,مشكلة في سلوك مراهق 
P24,مشكلة محددة في التعلم 
P25,مشكلة مرحلة حياتية لشخص بالغ 
P27,الخوف من مرض عقلي 
P28,وظيفة محدودة أو فشل وظيفي
P29,مشكلة أو عرض نفسي
P70,
P71,
P72,
P73,
P74,
P75,
P76,
P77,
P78,
P79,
P80,
P81,
P82,
P85,
P86,
P98,
P99,
R01,الم في الجهاز التنفسي 
R02,ضيق في النفس 
R03,أزيز أو تصفير أثناء التنفس 
R04,مشكلة في التنفس أخرى 
R05,سحال أو قحة 
R06,نزيف من الأنف
R07,عطاس أو إحتقان أنفي
R08,مشكلة في الأنف
R09,مشكلة في الجيوب التنفسية 
R21,مشكلة في الحلق
R23,مشكلة في الصوت 
R24,سعال أو قحة دم 
R25,إخراج بلغم 
R26,الخوف من سرطان في الجهاز التنفسي 
R27,الخوف من مرض آخر في الجهاز التنفسي
R28,وظيفة محدودة أو فشل وظيفي
R29,مشكلة أو عرض في الجهاز التنفسي
R71,
R72,
R73,
R74,
R75,
R76,
R77,
R78,
R79,
R80,
R81,
R82,
R83,
R84,
R85,
R86,
R87,
R88,
R89,
R90,
R92,
R95,
R96,
R97,
R98,
R99,
S01,ألم في الجلد 
S02,حكة جلدية
S03,
S04,كتلة أو إنتفاخ في الجلد 
S05,كتلة أو إنتفاخ عام 
S06,حكة موضعية 
S07,حكة عامة 
S08,تغير في لون الجلد
S09,
S10,
S11,
S12,
S13,
S14,
S15,
S16,
S17,
S18,
S19,
S20,مسمار في الجلد 
S21,مشكلة في مظهر أو ملمس الجلد
S22,مشكلة في الأظافر 
S23,تساقط شعر أو صلع 
S24,مشكلة في الشعر أو فروة الرأس 
S26,الخوف من سرطان في الجلد
S27,الخوف من مرض جلدي آخر 
S28,وظيفة محدودة أو فشل وظيفي
S29,مشكلة جلدية أخرى
S70,
S71,
S72,
S73,
S74,
S75,
S76,
S77,
S78,
S79,
S80,
S81,
S82,
S83,
S84,
S85,
S86,
S87,
S88,
S89,
S90,
S91,
S92,
S93,
S94,
S95,
S96,
S97,
S98,
S99,
T01,عطش زائد 
T02,جوع وشهية زائدة 
T03,نقص في الشهية 
T04,مشكلة في إطعام طفل أو رضيع
T05,مشكلة في إطعام شخص بالغ 
T07,زيادة في الوزن
T08,نقص في الوزن 
T10,تأخر في النمو 
T11,جفاف 
T26,الخوف من مشكلة في الغدد الصماء 
T27,الخوف من مرض آخر في الغدد الصماء 
T28,وظيفة محدودة أو فشل وظيفي
T29,مشاكل أخرى في الغدد الصماء أو الأيض أو التغذية
T70,
T71,
T72,
T73,
T78,
T80,
T81,
T82,
T83,
T85,
T86,
T87,
T89,
T90,
T91,
T92,
T93,
T99,
U01,ألم أثناء التبول 
U02,كثرة التبول 
U04,سلس بول خروح لاإيرادي 
U05,مشكلة أخرى في التبول 
U06,وجود دم في البول 
U07,مشكلة أخرى في البول 
U08,قلة التبول 
U13,مشكلة في المثانة 
U14,مشكلة في الكلية 
U26,الخوف من سرطان في الجهاز البولي 
U27,الخوف من مشكلة أخرى في الجهاز البولي 
U28,وظيفة محدودة أو فشل وظيفي
U29,مشكلة أخرى في التبول 
U70,
U71,
U72,
U75,
U76,
U77,
U78,
U79,
U80,
U85,
U88,
U90,
U95,
U98,
U99,
W01,الشك في الحمل 
W02,الخوف من الحمل 
W03,نزيف قبل الحمل 
W05,غثيان أو قيء متعلق بالحمل 
W10,منع حمل بعد الجماع 
W11,منع حمل عن طريق الفم 
W12,منع حمل عن طريق الرحم 
W13,عقم كلي عند الأنثى 
W14,مشكلة أخرى في منع الحمل عند الأنثى
W15,عقم أو تأخر في الحمل
W17,نزيف بعد الولادة 
W18,مشكلة أخرى بعد الولادة 
W19,مشكلة في الترضيع
W21,الخوف من مظهر الجسم أثناء الحمل 
W27,الخوف من مضاعفات الحمل 
W28,وظيفة محدودة أو فشل وظيفي
W29,مشكلة أخرى في الحمل 
W70,
W71,
W72,
W73,
W75,
W76,
W78,
W79,
W80,
W81,
W82,
W83,
W84,
W85,
W90,
W91,
W92,
W93,
W94,
W95,
W96,
W99,
X01,ألم في الأعضاء التناسلية عند الأنثى
X02,ألم أثناء الحيض 
X03,ألم بين فترات الحيض 
X04,ألم أثناء الجماع عند الأنثى
X05,عدم أو قلة الحيض 
X06,زيادة الحيض 
X07,عدم إنتظام في الحيض
X08,نزيف بين فترات الحيض
X09,مشكلة قبل الحيض 
X10,تأخر في الحيض 
X11,مشكلة في إنقطاع الطمث
X12,نزيف في فترة إنقطاع الطمث 
X13,نزيف بعد الجماع 
X14,إفرازات من المهبل 
X15,مشكلة أخرى في المهبل
X16,مشكلة في الفرج 
X17,مشكلة في الحوض عند الأنثى
X18,ألم في الثدي عند الأنثى
X19,كتلة في الأنثى عند الانثى
X20,مشكلة في حلمة الثدي عند الأنثى
X21,مشكلة أخرى في الصدر عند الأنثى
X22,الخوف من مظهر الثدي 
X23,الخوف من مرض منقول عن طريق الإتصال الجنسي عند الأنثى
X24,الخوف من مشكلة جنسية عند الأنثى 
X25,الخوف من سرطان تناسلي عند الأنثى 
X26,الخوف من سرطان الثدي عند الأنثى 
X27,الخوف من مرض آخر في الجهاز التناسلي أو الثدي عند الأنثى
X28,وظيفة محدودة أو فشل وظيفي
X29,مشكلة أخرى في الجهاز التناسلي عند الأنثى
X70,
X71,
X72,
X73,
X74,
X75,
X76,
X77,
X78,
X79,
X80,
X81,
X82,
X83,
X84,
X85,
X86,
X87,
X88,
X89,
X90,
X91,
X92,
X99,
Y01,ألم في القضيب 
Y02,ألم في الخصية أو مكان الخصية 
Y03,إفرازات من الإحليل 
Y04,مشكلة أخرى في القضيب 
Y05,مشكلة أخرى في الخصية أو مكان الخصية 
Y06,مشكلة في البروستات 
Y07,ضعف جنسي 
Y08,مشكلة جنسية عند الذكر 
Y10,عقم أو قلة خصوبة عند الذكر 
Y13,عقم كلي عند الذكر
Y14,تنظيم العائلة للذكر 
Y16,مشكلة في الثدي عند الذكر 
Y24,الخوف من الضعف الجنسي عند الذكر 
Y25,الخوف من مرض منقول عن طريق الإتصال الجنسي عند الذكر
Y26,الخوف من سرطان تناسلي عند الذكر
Y27,الخوف من مرض آخر في الجهاز التناسلي عند الذكر 
Y28,وظيفة محدودة أو فشل وظيفي
Y29,مشكلة أخرى في الجهاز التناسلي عند الذكر
Y70,
Y71,
Y72,
Y73,
Y74,
Y75,
Y76,
Y77,
Y78,
Y79,
Y80,
Y81,
Y82,
Y83,
Y84,
Y85,
Y86,
Y99,
Z01,فقر أو مشاكل إقتصادية 
Z02,مشكلة في الطعام أو الماء 
Z03,مشكلة في المنزل أو الحي
Z04,مشكلة إجتماعية ثقافية 
Z05,مشكلة في العمل 
Z06,مشكلة في البطالة 
Z07,مشكلة في التعليم 
Z08,مشكلة في الرفاه أو التأمين الاجتماعي
Z09,مشكلة قانونية 
Z10,مشكلة في النظام الصحي 
Z11,مشكلة في الإلتزام الصحي أو مشكلة مرضية
Z12,مشكلة في العلاقة مع الزوج/الزوجة
Z13,مشكلة في سلوك الزوج/الزوجة
Z14,مشكلة في مرض الزوج/الزوجة
Z15,وفاة الزوج/الزوجة
Z16,مشكلة في العلاقة مع الإبن/الإبنة
Z18,مشكلة مرضية مع الإبن/الإبنة
Z19,وفاة الإبن/الإبنة
Z20,مشكلة في العلاقة مع الأهل أو أحد أفراد العائلة
Z21,مشكلة في سلوك الأهل أو أحد أفراد العائلة
Z22,مشلة مرضية في الأهل أو أحد أفراد العائلة
Z23,وفاة الأب/الأم أو أحد أفراد العائلة
Z24,مشكلة في العلاقة مع صديق 
Z25,مشكلة في إعتداء أو عمل مؤذي 
Z27,الخوف من مشكلة إجتماعية
Z28,وظيفة محدودة أو فشل وظيفي
Z29,مشكلة إجتماعية أخرى
-30,
-31,
-32,
-33,
-34,
-35,
-36,
-37,
-38,
-39,
-40,
-41,
-42,
-43,
-44,
-45,
-46,
-47,
-48,
-49,
-50,
-51,
-52,
-53,
-54,
-55,
-56,
-57,
-58,
-59,
-60,
-61,
-62,
-63,
-64,
-65,
-66,
-67,
-68,
-69,
